source,target,support,confidence,lhs.support,lift,hyper_lift,weight
{avocado},{seaweed},0.006767515923566879,0.85,0.007961783439490446,12.342196531791906,4.25,1.4469189829363254
{avocado},{cucumber},0.005971337579617835,0.75,0.007961783439490446,7.817427385892116,3.0000000000000004,1.0986122886681098
{avocado},{vinegar},0.007165605095541401,0.9,0.007961783439490446,4.16353591160221,2,0.6931471805599453
{pineapple},{starch},0.0051751592356687895,0.65,0.007961783439490446,4.71907514450867,1.8571428571428572,0.6190392084062235
{cumin},{fenugreek},0.007563694267515924,1,0.007563694267515924,132.21052631578948,19,2.9444389791664403
{fenugreek},{cumin},0.007563694267515924,1,0.007563694267515924,132.21052631578948,19,2.9444389791664403
{cumin},{turmeric},0.007563694267515924,1,0.007563694267515924,132.21052631578948,19,2.9444389791664403
{turmeric},{cumin},0.007563694267515924,1,0.007563694267515924,132.21052631578948,19,2.9444389791664403
{cumin},{coriander},0.007563694267515924,1,0.007563694267515924,83.73333333333333,9.5,2.2512917986064953
{coriander},{cumin},0.007563694267515924,0.6333333333333333,0.01194267515923567,83.73333333333332,9.5,2.2512917986064953
{cumin},{pepper},0.007563694267515924,1,0.007563694267515924,18.470588235294116,4.75,1.55814461804655
{pepper},{cumin},0.007563694267515924,0.13970588235294118,0.054140127388535034,18.470588235294116,4.75,1.55814461804655
{fenugreek},{turmeric},0.007563694267515924,1,0.007563694267515924,132.21052631578948,19,2.9444389791664403
{turmeric},{fenugreek},0.007563694267515924,1,0.007563694267515924,132.21052631578948,19,2.9444389791664403
{fenugreek},{coriander},0.007563694267515924,1,0.007563694267515924,83.73333333333333,9.5,2.2512917986064953
{coriander},{fenugreek},0.007563694267515924,0.6333333333333333,0.01194267515923567,83.73333333333332,9.5,2.2512917986064953
{fenugreek},{pepper},0.007563694267515924,1,0.007563694267515924,18.470588235294116,4.75,1.55814461804655
{pepper},{fenugreek},0.007563694267515924,0.13970588235294118,0.054140127388535034,18.470588235294116,4.75,1.55814461804655
{turmeric},{coriander},0.007563694267515924,1,0.007563694267515924,83.73333333333333,9.5,2.2512917986064953
{coriander},{turmeric},0.007563694267515924,0.6333333333333333,0.01194267515923567,83.73333333333332,9.5,2.2512917986064953
{turmeric},{pepper},0.007563694267515924,1,0.007563694267515924,18.470588235294116,4.75,1.55814461804655
{pepper},{turmeric},0.007563694267515924,0.13970588235294118,0.054140127388535034,18.470588235294116,4.75,1.55814461804655
{brassica},{radish},0.007165605095541401,0.6666666666666666,0.010748407643312103,5.490710382513661,2.25,0.8109302162163288
{cinnamon},{nut},0.0051751592356687895,0.3023255813953488,0.017117834394904458,4.630743051616562,1.8571428571428572,0.6190392084062235
{red_wine},{butter},0.0051751592356687895,0.52,0.009952229299363057,19.496119402985073,4.333333333333333,1.466337068793427
{butter},{red_wine},0.0051751592356687895,0.19402985074626866,0.02667197452229299,19.496119402985077,4.333333333333333,1.466337068793427
{red_wine},{vinegar},0.007961783439490446,0.8,0.009952229299363057,3.7009208103130757,2,0.6931471805599453
{mackerel},{sake},0.009554140127388535,0.6,0.01592356687898089,3.241290322580645,1.8461538461538463,0.6131044728864089
{mussel},{squid},0.006369426751592357,0.5,0.012738853503184714,8.722222222222221,3.2,1.1631508098056809
{squid},{mussel},0.006369426751592357,0.1111111111111111,0.05732484076433122,8.722222222222221,3.2,1.1631508098056809
{barley},{soybean},0.014331210191082803,0.9,0.01592356687898089,3.605741626794259,2.1176470588235294,0.750305594399894
{barley},{rice},0.015127388535031847,0.95,0.01592356687898089,2.8108362779740874,1.8095238095238095,0.5930637220029628
{coriander},{pepper},0.009554140127388535,0.8,0.011942675159235668,14.776470588235295,4.8,1.5686159179138452
{pepper},{coriander},0.009554140127388535,0.17647058823529413,0.05414012738853503,14.776470588235295,4.8,1.5686159179138452
{katsuobushi},{seaweed},0.007961783439490446,0.43478260869565216,0.018312101910828025,6.313144006031666,2.5,0.9162907318741551
{seaweed},{katsuobushi},0.007961783439490446,0.11560693641618497,0.06886942675159236,6.313144006031666,2.5,0.9162907318741551
{katsuobushi},{kelp},0.007165605095541401,0.391304347826087,0.018312101910828025,5.522227650219834,2.25,0.8109302162163288
{kelp},{katsuobushi},0.007165605095541401,0.10112359550561797,0.07085987261146497,5.5222276502198335,2.25,0.8109302162163288
{buckwheat},{radish},0.007563694267515924,0.48717948717948717,0.01552547770700637,4.012442202606137,1.9,0.6418538861723947
{tuna},{seaweed},0.005573248407643312,0.35,0.01592356687898089,5.082080924855491,1.9999999999999998,0.6931471805599452
{bread},{wheat},0.009554140127388535,0.6486486486486487,0.014729299363057323,3.6947968376539806,2,0.6931471805599453
{bread},{egg},0.013136942675159236,0.8918918918918919,0.014729299363057325,3.9513799513799515,2.2,0.7884573603642703
{milk},{butter},0.006767515923566879,0.3333333333333333,0.02030254777070064,12.497512437810943,3.4,1.2237754316221157
{butter},{milk},0.006767515923566879,0.2537313432835821,0.026671974522292995,12.497512437810945,3.4,1.2237754316221157
{wasabi},{seaweed},0.013535031847133758,0.6181818181818182,0.021894904458598728,8.976142932212296,3.7777777777777777,1.329135947279942
{seaweed},{wasabi},0.013535031847133758,0.19653179190751446,0.06886942675159236,8.976142932212298,3.7777777777777777,1.329135947279942
{wasabi},{vinegar},0.01393312101910828,0.6363636363636364,0.021894904458598728,2.9439142809308554,1.8421052631578947,0.6109090823229731
{yeast},{shiitake},0.007961783439490446,0.4878048780487805,0.016321656050955414,3.865507424790336,1.8181818181818181,0.5978370007556204
